Title,Year,Rating,IMG_URL
Lemonade Mouth,2011,7.5,https://static.movie.ge/movies/bg/normal/7vt9tQv286pM0kDnVCVul9oyJNM.jpg
Archenemy,2020,5.5,https://static.movie.ge/movies/bg/normal/9j7VovzODcb1xQ1kKm68i8XC2bj.jpg
The In Between,2022,7.1,https://static.movie.ge/movies/bg/normal/i9rEpTqC6aIQOWOc4PDEEAE3hFe.jpg
Blue Bayou,2021,7.6,https://static.movie.ge/movies/bg/normal/wETWXzbvn0LhrPGLeRqyIeIl0E8.jpg
All the Old Knives,2022,6.1,https://static.movie.ge/movies/bg/normal/xicKILMzPn6XZYCOpWwaxlUzg6S.jpg
Sen Yaşamaya Bak,2022,6.6,https://static.movie.ge/movies/bg/normal/11BkXcbBWVX2eW08p5KTudxregE.jpg
Cowspiracy: The Sustainability Secret,2014,7.8,https://static.movie.ge/movies/bg/normal/7KYqBgUtQGInqHVEMRnlyneuCpA.jpg
Scream,2022,6.4,https://static.movie.ge/movies/bg/normal/nX1iuR24effBtWwkWsD8NjKD4Bz.jpg
Black Site,2022,6.0,https://static.movie.ge/movies/bg/normal/4RbfGtiNYegevDr3bW1Nk0chL9C.jpg
Fantastic Beasts: A Natural History,2022,6.9,https://static.movie.ge/movies/bg/normal/l2Szl45c6YTszCqpNZVcU8b0M8P.jpg
Moonfall,2022,5.2,https://static.movie.ge/movies/bg/normal/zQT9TvdP9OaXB1EVoYbTngQx5yIhDYbMGf680OHD.jpg
365 Days: This Day,2022,6.0,https://static.movie.ge/movies/bg/normal/zBG5Mg29NH9xxpWMMG7BIvKwYhL.jpg
The Adam Project,2022,6.7,https://static.movie.ge/movies/bg/normal/ewUqXnwiRLhgmGhuksOdLgh49Ch.jpg
Eternals,2021,6.4,https://static.movie.ge/movies/bg/normal/mEs0UF6Pat72SGBaBV8ugwZN9xaqxUDGMz2azzjT.jpg
Rescued by Ruby,2022,7.2,https://static.movie.ge/movies/bg/normal/zQG1FYDqoWo2hYhE5GVZ1yrWSfh.jpg
Fresh,2022,6.7,https://static.movie.ge/movies/bg/normal/oVv5l6L5Wi5j3gd4P2vt0YvVMOg.jpg
The Banishing,2021,4.5,https://static.movie.ge/movies/bg/normal/gJhBNaj5LWsUTYlCTsIHz2WmTZQ.jpg
Trust,2021,5.3,https://static.movie.ge/movies/bg/normal/8sqvC5hU5QOkYHUnhZIoFKz87BA.jpg
Savannah,2013,5.7,https://static.movie.ge/movies/bg/normal/v8Y4cmPBqA7DxSE6iDICDJ7RIPH.jpg
South of Heaven,2021,5.7,https://static.movie.ge/movies/bg/normal/aP1Rxa39OdDXx0bP5l4R3LTRxVP.jpg
Gaia,2021,5.5,https://static.movie.ge/movies/bg/normal/i7cyiDAnFjm9Mt1gd47xzB8rChm.jpg
The Worst Person in the World,2021,7.9,https://static.movie.ge/movies/bg/normal/3DgGjoMjd188LN4v24Kw7iClKbT.jpg
The Owners,2020,4.9,https://static.movie.ge/movies/bg/normal/xUUtcxWC6H48UCrpRwwSPQz69XC.jpg
Supernova,2020,6.8,https://static.movie.ge/movies/bg/normal/BjLgTDAcZc94KomcQAxMVye0yI.jpg
The Last Duel,2021,7.4,https://static.movie.ge/movies/bg/normal/RWbcon75ExNZCgVGpmWdqYhBqH26d75GwwRHZ6Eh.jpg
Drive My Car,2021,7.6,https://static.movie.ge/movies/bg/normal/esOyr2JE2mpvNpNZLqszRSnrnap.jpg
The King's Man,2021,6.3,https://static.movie.ge/movies/bg/normal/4OTYefcAlaShn6TGVK33UxLW9R7.jpg
The Matrix Resurrections,2021,5.7,https://static.movie.ge/movies/bg/normal/OyqVexjNSakiz8TeyEG8EbTB4kisvgURdJ8ekaQN.jpg
I Want You Back,2022,6.6,https://static.movie.ge/movies/bg/normal/qfKVvAjIKCocpjTAjxT6WkAA3MG.jpg
The Sky Is Everywhere,2022,5.6,https://static.movie.ge/movies/bg/normal/xeEDb8pIxdHlEPdt6SCtOpMrghx.jpg
Eiffel,2021,6.2,https://static.movie.ge/movies/bg/normal/nlQ5NfVbLIv66cTOeIUiC4e11mz.jpg
Trollhunters: Rise of the Titans,2021,6.7,https://static.movie.ge/movies/bg/normal/3OwaKVZf3A2NdnarqKbwzFEhKir.jpg
Book of Love,2022,5.5,https://static.movie.ge/movies/bg/normal/VxMs7PvSG38fhkYli9o2mLsllD.jpg
Trolls Holiday in Harmony,2021,6.2,https://static.movie.ge/movies/bg/normal/k6a4Z4cHGifAOAuWB2PW5fUftGA.jpg
Those Who Walk Away,2022,6.1,https://static.movie.ge/movies/bg/normal/w0JoNDk9ESrsPl57ZVf4LlrKpMm.jpg
Ray Donovan: The Movie,2022,6.9,https://static.movie.ge/movies/bg/normal/tUYotMWdNGXtH22cs7p3a7c19PS.jpg
Kimi,2022,6.3,https://static.movie.ge/movies/bg/normal/mruT954ve6P1zquaRs6XG0hA5k9.jpg
Salvation Boulevard,2011,5.3,https://static.movie.ge/movies/bg/normal/apMLieYY9z6tgBHLbCA7wsuar02.jpg
Texas Chainsaw Massacre,2022,4.8,https://static.movie.ge/movies/bg/normal/aTSA5zMWlVFTYBIZxTCMbLkfOtb.jpg
The Kindness of Strangers,2019,6.4,https://static.movie.ge/movies/bg/normal/mRoK3dxINO8wy9xIe3PbffpcHIo.jpg
How to Train Your Dragon: Homecoming,2019,7.3,https://static.movie.ge/movies/bg/normal/lI2AHx0QQrNnEkUqUG01QHUdLDW.jpg
Shut In,2022,6.2,https://static.movie.ge/movies/bg/normal/ykg7HooGU54iwvC0iiYXHhgVuiM.jpg
Being the Ricardos,2021,6.5,https://static.movie.ge/movies/bg/normal/4wfA61Mi6E8GncUn8ze4w0jz0Za.jpg
Afterwards,2008,5.7,https://static.movie.ge/movies/bg/normal/78XxWgS9MgHOyUhmonqqSXvw9Ry.jpg
